Area Type, Area, Area Name, Standard Occupational Code, Occupational Title, Employment,Mean Wage, Median Wage, Entry Wage, Experienced Wage                                                                                                                                                                                                                                             
1,36,New York State,11-9161,Emergency Management Directors,640,102110,91470,64020,121150
1,36,New York State,11-9171,Funeral Home Managers,530,111230,110890,55100,139290
1,36,New York State,11-9198,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",16620,135120,118550,66430,169460
1,36,New York State,13-0000,Business and Financial Operations Occupations,611820,97890,83080,51980,120840
1,36,New York State,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",3560,103590,78420,45180,132800
1,36,New York State,13-1020,Buyers and Purchasing Agents,25840,77410,71580,48800,91720
1,36,New York State,13-1031,"Claims Adjusters, Examiners, and Investigators",17930,74630,72380,49410,87240
1,36,New York State,13-1032,"Insurance Appraisers, Auto Damage",580,69180,63810,51490,78030
1,36,New York State,13-1041,Compliance Officers,22030,79660,74700,49200,94880
1,36,New York State,13-1051,Cost Estimators,9940,79530,72440,46970,95820
1,36,New York State,13-1071,Human Resources Specialists,41880,77550,70640,47080,92790
1,36,New York State,13-1075,Labor Relations Specialists,8080,83040,70390,49540,99780
1,36,New York State,13-1081,Logisticians,3900,77340,73700,50230,90890
1,36,New York State,13-1111,Management Analysts,53370,114310,98800,61030,140950
1,36,New York State,13-1121,"Meeting, Convention, and Event Planners",10990,70510,62550,40280,85620
1,36,New York State,13-1131,Fundraisers,8260,72120,65770,43910,86230
1,36,New York State,13-1141,"Compensation, Benefits, and Job Analysis Specialists",9760,80240,77470,54050,93330
1,36,New York State,13-1151,Training and Development Specialists,24190,73380,68240,40900,89620
1,36,New York State,13-1161,Market Research Analysts and Marketing Specialists,68680,79660,74070,46150,96410
1,36,New York State,13-1198,"Project Management Specialists and Business Operations Specialists, All Other",49010,93730,84510,53040,114070
1,36,New York State,13-2011,Accountants and Auditors,112030,100440,88210,59390,120960
1,36,New York State,13-2020,Appraisers and Assessors of Real Estate,2970,66560,61470,40930,79380
1,36,New York State,13-2031,Budget Analysts,3150,81750,77740,57430,93910
1,36,New York State,13-2041,Credit Analysts,7690,125700,108250,64630,156240
1,36,New York State,13-2052,Personal Financial Advisors,26150,169810,144560,69850,219790
1,36,New York State,13-2053,Insurance Underwriters,7790,100550,82720,55810,122920
1,36,New York State,13-2061,Financial Examiners,11310,123030,107930,68480,150310
1,36,New York State,13-2071,Credit Counselors,2480,64660,60120,43010,75480
1,36,New York State,13-2072,Loan Officers,13420,104910,79580,44000,135360
1,36,New York State,13-2081,"Tax Examiners and Collectors, and Revenue Agents",4650,72350,66020,49580,83730
1,36,New York State,13-2082,Tax Preparers,4200,66770,65690,34490,82910
1,36,New York State,13-2098,"Financial and Investment Analysts, Financial Risk Specialists, and Financial Specialists, All Other",57980,134690,108910,72920,165570
1,36,New York State,15-0000,Computer and Mathematical Occupations,272070,102210,94390,56960,124830
1,36,New York State,15-1211,Computer Systems Analysts,39860,112260,102220,67940,134430
1,36,New York State,15-1212,Information Security Analysts,7120,124360,117380,73440,149820
1,36,New York State,15-1221,Computer and Information Research Scientists,1390,140770,134990,92420,164940
1,36,New York State,15-1231,Computer Network Support Specialists,13710,79450,75150,48820,94770
1,36,New York State,15-1232,Computer User Support Specialists,45250,62730,58700,40010,74100
1,36,New York State,15-1241,Computer Network Architects,8350,125390,121210,74360,150910
1,36,New York State,15-1244,Network and Computer Systems Administrators,25910,99920,94910,63780,117990
1,36,New York State,15-1245,Database Administrators and Architects,7730,105380,100160,60540,127800
1,36,New York State,15-1251,Computer Programmers,13380,94530,89390,59370,112110
1,36,New York State,15-1256,Software Developers and Software Quality Assurance Analysts and Testers,78890,122130,117480,76870,144760
1,36,New York State,15-1257,Web Developers and Digital Interface Designers,13000,84690,75200,47880,103100
1,36,New York State,15-1299,"Computer Occupations, All Other",5360,79940,72570,45750,97040
1,36,New York State,15-2011,Actuaries,2330,156200,140460,81370,193620
1,36,New York State,15-2021,Mathematicians,,121760,104350,64220,150530
1,36,New York State,15-2031,Operations Research Analysts,6510,107140,93620,60210,130600
1,36,New York State,15-2041,Statisticians,1200,97450,95220,68490,111930
1,36,New York State,15-2098,"Data Scientists and Mathematical Science Occupations, All Other",1980,127860,121690,74510,154530
1,36,New York State,17-0000,Architecture and Engineering Occupations,107230,92420,83490,56460,110400
1,36,New York State,17-1011,"Architects, Except Landscape and Naval",11470,109200,93930,68760,129420
1,36,New York State,17-1012,Landscape Architects,1570,82020,76280,54460,95800
1,36,New York State,17-1021,Cartographers and Photogrammetrists,,85610,82140,58890,98970
1,36,New York State,17-1022,Surveyors,1610,84830,77540,50330,102080
1,36,New York State,17-2011,Aerospace Engineers,270,122700,122050,83690,142200
1,36,New York State,17-2021,Agricultural Engineers,,122760,145770,69900,149190
1,36,New York State,17-2031,Biomedical Engineers,560,103430,99680,69080,120600
1,36,New York State,17-2041,Chemical Engineers,770,106450,100840,75590,121890
1,36,New York State,17-2051,Civil Engineers,16400,105020,93630,66590,124240
1,36,New York State,17-2061,Computer Hardware Engineers,1240,122900,119870,76500,146100
1,36,New York State,17-2071,Electrical Engineers,9560,108650,105320,73110,126410
1,36,New York State,17-2072,"Electronics Engineers, Except Computer",3660,101120,95280,68870,117250
1,36,New York State,17-2081,Environmental Engineers,3110,96790,88190,62700,113830
1,36,New York State,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",1760,100550,96850,66330,117660
1,36,New York State,17-2112,Industrial Engineers,11760,98600,90970,65630,115090
1,36,New York State,17-2121,Marine Engineers and Naval Architects,,141190,122500,86250,168670
1,36,New York State,17-2131,Materials Engineers,800,102840,100410,66020,121250
1,36,New York State,17-2141,Mechanical Engineers,10050,95090,90480,64980,110140
1,36,New York State,17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",,107870,99370,79290,122160
1,36,New York State,17-2161,Nuclear Engineers,290,115830,114050,82670,132410
1,36,New York State,17-2199,"Engineers, All Other",4740,96570,93040,61750,113980
1,36,New York State,17-3011,Architectural and Civil Drafters,6360,63170,61260,47000,71250
1,36,New York State,17-3012,Electrical and Electronics Drafters,1230,76340,73010,44380,92320
1,36,New York State,17-3013,Mechanical Drafters,2540,60210,58040,40880,69880
1,36,New York State,17-3019,"Drafters, All Other",650,66240,62870,45680,76520
1,36,New York State,17-3021,Aerospace Engineering and Operations Technicians,280,68630,67970,49020,78440
1,36,New York State,17-3022,Civil Engineering Technicians,1790,58910,57700,40470,68140
1,36,New York State,17-3023,Electrical and Electronic Engineering Technicians,5730,69070,66780,43820,81690
1,36,New York State,17-3024,Electro-Mechanical Technicians,300,65510,60000,43610,76460
1,36,New York State,17-3025,Environmental Engineering Technicians,640,55680,55340,36470,65290
1,36,New York State,17-3026,Industrial Engineering Technicians,2830,58120,57650,40410,66970
1,36,New York State,17-3027,Mechanical Engineering Technicians,1440,58960,56690,39090,68890
1,36,New York State,17-3031,Surveying and Mapping Technicians,1370,53920,52520,36020,62870
1,36,New York State,17-3098,"Calibration Technologists and Technicians and Engineering Technologists and Technicians, Except Drafters, All Other",2040,63610,62030,43250,73790
1,36,New York State,19-0000,"Life, Physical, and Social Science Occupations",72570,80400,69180,43660,98780
1,36,New York State,19-1011,Animal Scientists,,65450,62550,50010,73170
1,36,New York State,19-1012,Food Scientists and Technologists,590,77140,71590,44540,93440
1,36,New York State,19-1013,Soil and Plant Scientists,,82100,63680,49910,98190
1,36,New York State,19-1021,Biochemists and Biophysicists,910,84290,66390,49110,101880
1,36,New York State,19-1022,Microbiologists,680,83290,76460,55500,97180
1,36,New York State,19-1023,Zoologists and Wildlife Biologists,390,77750,74060,54590,89330
1,36,New York State,19-1029,"Biological Scientists, All Other",710,94310,92430,65190,108860
1,36,New York State,19-1031,Conservation Scientists,470,73930,67270,50680,85560
1,36,New York State,19-1032,Foresters,250,68580,64350,54200,75770
1,36,New York State,19-1041,Epidemiologists,260,112480,105340,61380,138030
1,36,New York State,19-1042,"Medical Scientists, Except Epidemiologists",8590,107010,89280,56360,132330
1,36,New York State,19-1099,"Life Scientists, All Other",,79690,72210,49690,94690
1,36,New York State,19-2012,Physicists,900,147590,136900,72200,185280
1,36,New York State,19-2021,Atmospheric and Space Scientists,360,109470,105040,64050,132190
1,36,New York State,19-2031,Chemists,3650,88650,77210,51770,107090
1,36,New York State,19-2032,Materials Scientists,,103930,107330,53360,129220
1,36,New York State,19-2041,"Environmental Scientists and Specialists, Including Health",3840,85880,77360,54130,101760
1,36,New York State,19-2042,"Geoscientists, Except Hydrologists and Geographers",660,79390,75630,54100,92030
1,36,New York State,19-2043,Hydrologists,,80260,75910,51420,94680
1,36,New York State,19-2099,"Physical Scientists, All Other",910,110680,106630,73190,129420
1,36,New York State,19-3011,Economists,820,148970,112210,69310,188800
1,36,New York State,19-3022,Survey Researchers,610,81870,81590,54960,95330
1,36,New York State,19-3031,"Clinical, Counseling, and School Psychologists",11030,98230,90590,58930,117880
1,36,New York State,19-3039,"Psychologists, All Other",550,99280,103000,56780,120520
1,36,New York State,19-3041,Sociologists,,84280,74530,46520,103160
1,36,New York State,19-3051,Urban and Regional Planners,1390,89400,78470,56660,105760
1,36,New York State,19-3091,Anthropologists and Archeologists,,74960,72960,46980,88940
1,36,New York State,19-3092,Geographers,,80550,71610,51920,94860
1,36,New York State,19-3093,Historians,410,34550,29780,28320,37670
1,36,New York State,19-3094,Political Scientists,,130400,131620,95230,147990
1,36,New York State,19-3099,"Social Scientists and Related Workers, All Other",2220,92410,89270,62670,107290
1,36,New York State,19-4010,Agricultural and Food Science Technicians,1040,54630,50290,36290,63790
1,36,New York State,19-4021,Biological Technicians,3920,50930,48930,34600,59100
1,36,New York State,19-4031,Chemical Technicians,2510,53760,50910,32920,64180
1,36,New York State,19-4042,"Environmental Science and Protection Technicians, Including Health",2220,53610,50310,34790,63030
1,36,New York State,19-4045,Geological and Hydrologic Technicians,,54960,47340,34310,65280
1,36,New York State,19-4051,Nuclear Technicians,290,103600,106170,66170,122310
1,36,New York State,19-4061,Social Science Research Assistants,6170,53370,47660,32460,63830
1,36,New York State,19-4071,Forest and Conservation Technicians,360,51670,50530,40300,57360
1,36,New York State,19-4092,Forensic Science Technicians,860,69450,66430,54860,76750
1,36,New York State,19-4099,"Life, Physical, and Social Science Technicians, All Other",8680,56350,53920,34730,67160
1,36,New York State,19-5011,Occupational Health and Safety Specialists,3930,79010,75790,49200,93910
1,36,New York State,19-5012,Occupational Health and Safety Technicians,1020,62980,60610,46750,71090
1,36,New York State,21-0000,Community and Social Service Occupations,198410,56240,51070,33450,67630
1,36,New York State,21-1012,"Educational, Guidance, School, and Vocational Counselors",26500,70370,63300,40460,85320
1,36,New York State,21-1013,Marriage and Family Therapists,1440,50480,54540,31810,59820
1,36,New York State,21-1015,Rehabilitation Counselors,9190,37760,32630,27040,43110
1,36,New York State,21-1018,"Substance abuse, behavioral disorder, and mental health counselors?(OES-specific code and title)",14910,55450,51870,35340,65500
1,36,New York State,21-1019,"Counselors, All Other",490,62680,51510,31540,78260
1,36,New York State,21-1021,"Child, Family, and School Social Workers",29880,61680,56120,39560,72740
1,36,New York State,21-1022,Healthcare Social Workers,15720,62780,60270,41630,73360
1,36,New York State,21-1023,Mental Health and Substance Abuse Social Workers,11540,64880,62030,43350,75650
1,36,New York State,21-1029,"Social Workers, All Other",4910,69030,71020,48580,79260
1,36,New York State,21-1091,Health Educators,4360,59720,56660,39360,69900
1,36,New York State,21-1092,Probation Officers and Correctional Treatment Specialists,4940,72810,72550,53520,82460
1,36,New York State,21-1093,Social and Human Service Assistants,39810,39680,37610,28850,45090
1,36,New York State,21-1094,Community Health Workers,7750,46000,40950,31730,53140
1,36,New York State,21-1099,"Community and Social Service Specialists, All Other",13750,58920,55520,43330,66710
1,36,New York State,21-2011,Clergy,7210,59750,52310,30420,74420
1,36,New York State,21-2021,"Directors, Religious Activities and Education",5230,51780,44830,27030,64150
1,36,New York State,21-2099,"Religious Workers, All Other",780,39600,30840,24570,47120
1,36,New York State,23-0000,Legal Occupations,116130,139380,107240,54500,181810
1,36,New York State,23-1011,Lawyers,77060,172400,150130,77960,219610
1,36,New York State,23-1012,Judicial Law Clerks,710,122070,132740,85160,140530
1,36,New York State,23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",1420,115580,113560,87140,129800
1,36,New York State,23-1022,"Arbitrators, Mediators, and Conciliators",510,86520,85500,59230,100160
1,36,New York State,23-1023,"Judges, Magistrate Judges, and Magistrates",3260,188040,167290,129950,217090
1,36,New York State,27-3042,Technical Writers,1740,79870,76780,50090,94760
1,36,New York State,23-2011,Paralegals and Legal Assistants,29310,59320,55440,38370,69790
1,36,New York State,23-2093,"Title Examiners, Abstractors, and Searchers",1600,65390,64930,41930,77120
1,36,New York State,23-2099,"Legal Support Workers, All Other",2260,66350,59040,40680,79180
1,36,New York State,25-0000,"Education, Training, and Library Occupations",708490,74700,64360,33400,95350
1,36,New York State,25-1011,"Business Teachers, Postsecondary",9050,118460,93670,51930,151730
1,36,New York State,25-1021,"Computer Science Teachers, Postsecondary",3310,114070,100210,57580,142310
1,36,New York State,25-1022,"Mathematical Science Teachers, Postsecondary",4730,113440,99280,55940,142200
1,36,New York State,25-1031,"Architecture Teachers, Postsecondary",1000,136220,122610,72200,168230
1,36,New York State,25-1032,"Engineering Teachers, Postsecondary",2950,131770,117210,74210,160540
1,36,New York State,25-1041,"Agricultural Sciences Teachers, Postsecondary",470,107290,96370,57720,132080
1,36,New York State,25-1042,"Biological Science Teachers, Postsecondary",4890,110920,97580,57270,137740
1,36,New York State,25-1043,"Forestry and Conservation Science Teachers, Postsecondary",,84540,74230,53490,100070
1,36,New York State,25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",,118780,108510,60460,147940
1,36,New York State,25-1052,"Chemistry Teachers, Postsecondary",2530,111700,100220,59020,138050
1,36,New York State,25-1053,"Environmental Science Teachers, Postsecondary",850,99000,74330,52350,122320
1,36,New York State,25-1054,"Physics Teachers, Postsecondary",1540,126580,111570,69560,155090
1,36,New York State,25-1061,"Anthropology and Archeology Teachers, Postsecondary",900,111450,101220,58020,138160
1,36,New York State,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",1670,106710,90950,56820,131660
1,36,New York State,25-1063,"Economics Teachers, Postsecondary",,137900,125400,67100,173290
1,36,New York State,25-1064,"Geography Teachers, Postsecondary",,85460,78990,55210,100590
1,36,New York State,25-1065,"Political Science Teachers, Postsecondary",1640,133900,112300,64720,168490
1,36,New York State,25-1066,"Psychology Teachers, Postsecondary",4160,100960,87960,55630,123630
1,36,New York State,25-1067,"Sociology Teachers, Postsecondary",1560,108000,95140,55780,134110
1,36,New York State,25-1069,"Social Sciences Teachers, Postsecondary, All Other",3630,110310,99260,53460,138740
1,36,New York State,25-1071,"Health Specialties Teachers, Postsecondary",22350,133120,110040,63530,167920
1,36,New York State,25-1072,"Nursing Instructors and Teachers, Postsecondary",5030,99840,90350,52400,123560
1,36,New York State,25-1081,"Education Teachers, Postsecondary",6210,94860,82010,46720,118930
1,36,New York State,25-1082,"Library Science Teachers, Postsecondary",260,90230,86270,60320,105190
1,36,New York State,25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",1130,74310,63790,42030,90450
1,36,New York State,25-1112,"Law Teachers, Postsecondary",3330,139340,120910,47840,185080
1,36,New York State,25-1113,"Social Work Teachers, Postsecondary",2750,98140,90250,58460,117980
1,36,New York State,25-1121,"Art, Drama, and Music Teachers, Postsecondary",11590,107080,84860,51100,135080
1,36,New York State,25-1122,"Communications Teachers, Postsecondary",3280,95970,80340,49620,119150
1,36,New York State,25-1123,"English Language and Literature Teachers, Postsecondary",8130,105160,91540,52580,131440
1,36,New York State,25-1124,"Foreign Language and Literature Teachers, Postsecondary",2610,93060,79960,50990,114090
1,36,New York State,25-1125,"History Teachers, Postsecondary",2190,103260,91230,56580,126610
1,36,New York State,25-1126,"Philosophy and Religion Teachers, Postsecondary",3280,88130,74430,47430,108480
1,36,New York State,25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",990,80160,66050,43620,98430
1,36,New York State,25-1194,"Vocational Education Teachers, Postsecondary",,76520,66480,42540,93510
1,36,New York State,25-1199,"Postsecondary Teachers, All Other",5390,122460,98060,51470,157960
1,36,New York State,25-2011,"Preschool Teachers, Except Special Education",23890,43240,37960,27430,51140
1,36,New York State,25-2012,"Kindergarten Teachers, Except Special Education",6450,79820,73460,44780,97340
1,36,New York State,25-2021,"Elementary School Teachers, Except Special Education",92560,84600,80920,49380,102220
1,36,New York State,25-2022,"Middle School Teachers, Except Special and Career/Technical Education",42010,88920,87220,57850,104450
1,36,New York State,25-2023,"Career/Technical  Education Teachers, Middle School",1470,87540,84810,56530,103050
1,36,New York State,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",75360,89110,86870,56340,105490
1,36,New York State,25-2032,"Career/Technical Education Teachers, Secondary School",4680,80640,77460,53080,94410
1,36,New York State,25-2051,"Special Education Teachers, Preschool",5930,91860,80690,51270,112160
1,36,New York State,25-2052,"Special Education Teachers, Kindergarten and Elementary School",20500,83420,80500,55980,97130
1,36,New York State,25-2057,"Special Education Teachers, Middle School",10960,89310,87720,63790,102070
1,36,New York State,25-2058,"Special Education Teachers, Secondary School",17340,85690,82770,58590,99230
1,36,New York State,25-2059,"Special Education Teachers, All Other",3060,90050,80240,51170,109500
1,36,New York State,25-3011,Adult Basic and Secondary Education and Literacy Teachers and Instructors,3650,72920,68560,46440,86160
1,36,New York State,25-3021,Self-Enrichment Education Teachers,33030,63600,51890,30860,79980
1,36,New York State,25-3031,"Substitute Teachers, Short-Term",32440,42140,37290,27400,49510
1,36,New York State,25-3097,"Teachers and Instructors, All Other, Except Substitute Teachers",18790,64350,44100,29260,81890
1,36,New York State,25-4011,Archivists,1000,61600,63600,38330,73240
1,36,New York State,25-4012,Curators,1580,73970,66370,44750,88590
1,36,New York State,25-4013,Museum Technicians and Conservators,1480,60870,58760,39060,71780
1,36,New York State,25-4022,Librarians and Media Collections Specialists,12990,71480,67860,49350,82540
1,36,New York State,25-4031,Library Technicians,8400,36710,32260,24830,42650
1,36,New York State,25-9021,Farm and Home Management Advisors,,48570,46190,38680,53510
1,36,New York State,25-9031,Instructional Coordinators,17120,76540,72710,45730,91940
1,36,New York State,25-9044,"Teaching Assistants, Postsecondary",9310,46000,40540,26940,55530
1,36,New York State,25-9045,"Teaching Assistants, Except Postsecondary",131100,34440,31850,25410,38960
1,36,New York State,25-9099,"Education, Training, and Library Workers, All Other",1240,53110,50310,31000,64170
1,36,New York State,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",221800,85180,69390,38750,108400
1,36,New York State,27-1011,Art Directors,8720,137730,115150,73550,169810
1,36,New York State,27-1012,Craft Artists,,51840,48180,30470,62520
1,36,New York State,27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",1700,99450,66020,39540,129400
1,36,New York State,27-1014,Multimedia Artists and Animators,2600,97320,92300,60360,115800
1,36,New York State,27-1019,"Artists and Related Workers, All Other",,97670,75380,47530,122740
1,36,New York State,27-1021,Commercial and Industrial Designers,2040,86890,78100,50360,105150
1,36,New York State,27-1022,Fashion Designers,8460,94850,79930,49750,117400
1,36,New York State,27-1023,Floral Designers,2040,34140,30880,26170,38120
1,36,New York State,27-1024,Graphic Designers,21090,68310,63220,40310,82310
1,36,New York State,27-1025,Interior Designers,5250,70420,68220,44220,83520
1,36,New York State,27-1026,Merchandise Displayers and Window Trimmers,7400,38910,34540,26370,45180
1,36,New York State,27-1027,Set and Exhibit Designers,2350,87590,84380,48430,107180
1,36,New York State,27-1029,"Designers, All Other",940,75210,68140,39360,93140
1,36,New York State,27-2012,Producers and Directors,27370,120620,101890,52240,154820
1,36,New York State,27-2021,Athletes and Sports Competitors,280,93920,70300,36960,122400
1,36,New York State,27-2022,Coaches and Scouts,12610,57250,46570,29360,71190
1,36,New York State,27-2023,"Umpires, Referees, and Other Sports Officials",710,137140,81960,35960,187730
1,36,New York State,27-2032,Choreographers,,93980,51450,44480,118730
1,36,New York State,27-2041,Music Directors and Composers,2490,78820,58880,28930,103760
1,36,New York State,27-3011,Radio and Television Announcers,1710,81250,43910,27410,108170
1,36,New York State,27-3023,"News Analysts, Reporters, and Journalist",6020,92090,78960,40870,117700
1,36,New York State,27-3031,Public Relations Specialists,25760,79910,70710,44040,97840
1,36,New York State,27-3041,Editors,20440,89010,76200,46090,110470
1,36,New York State,27-3043,Writers and Authors,7680,93230,76780,50510,114590
1,36,New York State,27-3091,Interpreters and Translators,3770,74130,70820,44570,88920
1,36,New York State,27-3092,Court Reporters and Simultaneous Captioners,1320,92440,105190,55890,110710
1,36,New York State,27-3099,"Media and Communication Workers, All Other",1140,58880,56360,30540,73040
1,36,New York State,27-4011,Audio and Video Equipment Technicians,7760,59570,54580,35850,71430
1,36,New York State,27-4012,Broadcast Technicians,4710,59060,54360,34750,71210
1,36,New York State,27-4014,Sound Engineering Technicians,1830,81110,64430,35920,103700
1,36,New York State,27-4021,Photographers,4680,66460,54900,28280,85550
1,36,New York State,27-4031,"Camera Operators, Television, Video, and Motion Picture",2910,101920,86560,45330,130220
1,36,New York State,27-4032,Film and Video Editors,4330,92230,76100,44210,116240
1,36,New York State,27-4098,"Lighting Technicians and Media and Communication Equipment Workers, All Other",,75100,70800,38150,93570
1,36,New York State,29-0000,Healthcare Practitioners and Technical Occupations,546900,95110,81370,47840,118740
1,36,New York State,29-1011,Chiropractors,1550,84540,80670,59630,96990
1,36,New York State,29-1021,"Dentists, General",8780,170670,143280,108850,201580
1,36,New York State,29-1022,Oral and Maxillofacial Surgeons,360,235670,,128200,289400
1,36,New York State,29-1023,Orthodontists,290,198770,132160,110360,242970
1,36,New York State,29-1029,"Dentists, All Other Specialists",280,191910,147210,91300,242210
1,36,New York State,29-1031,Dietitians and Nutritionists,4640,70060,69190,52730,78730
1,36,New York State,29-1041,Optometrists,1910,139460,132770,92690,162850
1,36,New York State,29-1051,Pharmacists,20180,124080,127310,88280,141980
1,36,New York State,29-1071,Physician Assistants,13270,125720,124300,98480,139340
1,36,New York State,29-1081,Podiatrists,1060,160780,136950,94020,194160
1,36,New York State,29-1122,Occupational Therapists,12460,91850,83470,66390,104580
1,36,New York State,29-1123,Physical Therapists,17710,92820,91180,68350,105060
1,36,New York State,29-1124,Radiation Therapists,1170,117620,107340,75430,138710
1,36,New York State,29-1125,Recreational Therapists,1450,57420,56260,40640,65820
1,36,New York State,29-1126,Respiratory Therapists,5860,78640,79120,62320,86800
1,36,New York State,29-1127,Speech-Language Pathologists,13130,98840,90820,61710,117410
1,36,New York State,29-1128,Exercise Physiologists,330,69870,61140,41520,84050
1,36,New York State,29-1129,"Therapists, All Other",820,65060,62150,47640,73770
1,36,New York State,29-1131,Veterinarians,3890,123160,114940,73970,147760
1,36,New York State,29-1141,Registered Nurses,178320,89720,89210,63790,102690
1,36,New York State,29-1151,Nurse Anesthetists,1900,204650,189560,136960,238490
1,36,New York State,29-1161,Nurse Midwives,480,122970,118530,88780,140060
1,36,New York State,29-1171,Nurse Practitioners,14060,125170,122060,91220,142150
1,36,New York State,29-1181,Audiologists,,87330,82510,69650,96180
1,36,New York State,29-1211,Anesthesiologists,1540,217300,,92130,279880
1,36,New York State,29-1215,Family Medicine Physicians,3820,198230,187680,111760,241470
1,36,New York State,29-1216,General Internal Medicine Physicians,5630,192410,189160,72090,252570
1,36,New York State,29-1218,Obstetricians and Gynecologists,1580,221410,,97790,283210
1,36,New York State,29-1221,"Pediatricians, General",3050,172420,159310,96690,210280
1,36,New York State,29-1223,Psychiatrists,3690,220920,,111870,275440
1,36,New York State,29-1228,"Physicians, All Other; and Ophthalmologists, Except Pediatric",38380,182950,159780,69040,239910
1,36,New York State,29-1248,"Surgeons, Except Ophthalmologists",2340,235840,,100210,303660
1,36,New York State,29-1292,Dental Hygienists,11620,78610,79460,59720,88050
1,36,New York State,29-1298,"Acupuncturists and Healthcare Diagnosing or Treating Practitioners, All Other",2720,80970,65500,44410,99240
1,36,New York State,29-2010,Clinical Laboratory Technologists and Technicians,18110,66960,67650,42380,79250
1,36,New York State,29-2031,Cardiovascular Technologists and Technicians,3370,66060,64960,42320,77930
1,36,New York State,29-2032,Diagnostic Medical Sonographers,5880,78710,79040,60600,87770
1,36,New York State,29-2033,Nuclear Medicine Technologists,970,88610,89560,71070,97380
1,36,New York State,29-2034,Radiologic Technologists,12620,72140,71990,51350,82530
1,36,New York State,29-2035,Magnetic Resonance Imaging Technologists,2410,86090,87980,67550,95360
1,36,New York State,29-2040,Emergency Medical Technicians and Paramedics,18610,45880,42520,30390,53630
1,36,New York State,29-2051,Dietetic Technicians,1040,42010,42100,30080,47980
1,36,New York State,29-2052,Pharmacy Technicians,20360,36560,34270,27130,41270
1,36,New York State,29-2053,Psychiatric Technicians,2220,41200,41410,28010,47790
1,36,New York State,29-2055,Surgical Technologists,5620,58660,56750,42130,66920
